cropped_F8A3351.JPG,cropped_F8A3626.JPG,cropped_F8A3736.JPG,cropped_F8A3801.JPG,cropped_F8A3906.JPG,cropped_F8A3966.JPG,cropped_F8A3996.JPG,cropped_F8A4011.JPG,cropped_F8A4046.JPG,cropped_F8A4171.JPG,cropped_F8A4431.JPG,cropped_F8A4446.JPG,cropped_F8A4451.JPG,cropped_F8A4511.JPG,cropped_F8A4541.JPG,cropped_F8A4561.JPG,cropped_F8A4666.JPG,cropped_F8A4791.JPG,cropped_F8A4826.JPG,cropped_F8A4876.JPG,cropped_F8A4991.JPG,cropped_F8A5021.JPG,cropped_F8A5111.JPG,cropped_F8A5266.JPG,cropped_F8A5276.JPG,cropped_F8A5391.JPG,cropped_F8A5396.JPG,cropped_F8A5411.JPG,cropped_F8A5466.JPG,cropped_F8A5556.JPG,cropped_F8A5736.JPG,cropped_F8A5806.JPG,cropped_F8A5876.JPG,cropped_F8A5906.JPG,cropped_F8A6036.JPG,cropped_F8A6301.JPG,cropped_F8A6346.JPG,cropped_F8A6376.JPG,cropped_F8A6431.JPG,cropped_F8A6506.JPG,cropped_F8A6516.JPG,cropped_F8A6601.JPG,cropped_F8A6921.JPG,cropped_F8A6976.JPG,cropped_F8A7181.JPG,cropped_F8A7216.JPG,cropped_F8A7251.JPG,cropped_F8A7376.JPG,cropped_F8A7456.JPG,cropped_F8A7656.JPG,cropped_F8A7781.JPG,cropped_F8A7831.JPG,cropped_F8A8451.JPG,cropped_F8A8496.JPG,cropped_F8A8531.JPG,cropped_F8A8541.JPG,cropped_F8A8891.JPG,cropped_F8A9296.JPG,cropped_F8A9301.JPG,cropped_F8A9441.JPG,cropped_F8A9446.JPG,cropped_F8A9481.JPG,cropped_F8A9516.JPG,cropped_F8A9651.JPG,cropped_F8A9666.JPG
36.0,86.0,91.0,74,96.0,82.0,115,69,154.0,78.0,65.0,96.0,67.0,186.0,88.0,116.0,179.0,136.0,77.0,56.0,129.0,58.0,70.0,162.0,80,33.0,52,67.0,155.0,89.0,34.0,79.0,72.0,150.0,146.0,135.0,49.0,125.0,72.0,82.0,98,146.0,39.0,96.0,35.0,79.0,57.0,68.0,56.0,78.0,41.0,81.0,48.0,151.0,150.0,47.0,101.0,56.0,58.0,70.0,142.0,103.0,89.0,53,84.0
34.0,82.0,69.0,97,91.0,110.0,48,89,214.0,51.0,56.0,121.0,87.0,158.0,100.0,187.0,68.0,90.0,63.0,52.0,76.0,53.0,32.0,120.0,69,40.0,79,67.0,165.0,66.0,35.0,86.0,166.0,111.0,102.0,129.0,89.0,114.0,82.0,89.0,55,161.0,35.0,61.0,62.0,60.0,29.0,120.0,102.0,141.0,33.0,66.0,49.0,69.0,99.0,31.0,78.0,82.0,51.0,32.0,136.0,104.0,127.0,42,64.0
31.0,67.0,52.0,40,53.0,51.0,79,137,58.0,54.0,114.0,59.0,64.0,109.0,34.0,89.0,119.0,65.0,50.0,29.0,90.0,33.0,56.0,145.0,54,42.0,47,102.0,77.0,150.0,45.0,107.0,76.0,59.0,77.0,66.0,76.0,60.0,41.0,76.0,28,126.0,27.0,50.0,85.0,120.0,46.0,96.0,85.0,65.0,29.0,39.0,54.0,57.0,85.0,62.0,66.0,59.0,29.0,77.0,132.0,105.0,187.0,50,68.0
32.0,47.0,68.0,55,88.0,75.0,58,52,54.0,44.0,60.0,45.0,84.0,85.0,46.0,89.0,86.0,99.0,91.0,32.0,61.0,67.0,65.0,116.0,61,52.0,87,87.0,72.0,54.0,50.0,101.0,48.0,118.0,140.0,94.0,48.0,73.0,76.0,103.0,61,111.0,23.0,39.0,40.0,87.0,33.0,33.0,38.0,58.0,27.0,46.0,69.0,42.0,77.0,34.0,85.0,98.0,36.0,58.0,88.0,81.0,83.0,54,84.0
28.0,58.0,58.0,40,78.0,63.0,67,59,114.0,46.0,75.0,120.0,45.0,78.0,64.0,95.0,42.0,46.0,48.0,28.0,32.0,39.0,48.0,125.0,46,28.0,58,85.0,126.0,45.0,62.0,112.0,49.0,90.0,109.0,67.0,51.0,52.0,43.0,113.0,42,153.0,30.0,37.0,32.0,92.0,58.0,52.0,66.0,72.0,44.0,109.0,44.0,51.0,77.0,39.0,93.0,65.0,26.0,77.0,126.0,63.0,64.0,23,60.0
28.0,55.0,68.0,58,88.0,62.0,88,42,67.0,70.0,50.0,55.0,68.0,138.0,50.0,151.0,90.0,52.0,38.0,21.0,61.0,98.0,32.0,153.0,41,22.0,35,101.0,72.0,40.0,49.0,72.0,33.0,49.0,80.0,75.0,55.0,48.0,35.0,41.0,39,139.0,23.0,71.0,36.0,76.0,32.0,82.0,81.0,114.0,23.0,58.0,47.0,43.0,80.0,39.0,74.0,78.0,37.0,37.0,109.0,75.0,74.0,110,49.0
42.0,51.0,67.0,62,65.0,81.0,41,40,75.0,48.0,46.0,108.0,89.0,112.0,66.0,99.0,67.0,76.0,35.0,34.0,52.0,66.0,26.0,82.0,39,35.0,104,89.0,84.0,35.0,68.0,69.0,46.0,98.0,159.0,93.0,46.0,100.0,57.0,44.0,44,75.0,25.0,31.0,47.0,68.0,35.0,62.0,88.0,60.0,37.0,41.0,41.0,59.0,76.0,36.0,58.0,39.0,22.0,47.0,133.0,61.0,70.0,60,79.0
28.0,43.0,26.0,43,87.0,54.0,65,52,78.0,41.0,48.0,100.0,52.0,123.0,43.0,177.0,59.0,87.0,45.0,22.0,41.0,36.0,28.0,124.0,26,29.0,67,54.0,73.0,49.0,39.0,56.0,60.0,79.0,76.0,73.0,62.0,43.0,40.0,49.0,51,107.0,47.0,57.0,47.0,65.0,50.0,42.0,70.0,44.0,29.0,51.0,60.0,39.0,45.0,44.0,73.0,48.0,57.0,64.0,50.0,73.0,58.0,36,39.0
24.0,41.0,76.0,57,86.0,77.0,34,56,107.0,46.0,92.0,63.0,50.0,187.0,37.0,99.0,148.0,29.0,46.0,26.0,47.0,28.0,32.0,123.0,48,25.0,43,142.0,83.0,66.0,48.0,84.0,43.0,59.0,96.0,79.0,73.0,30.0,36.0,33.0,31,45.0,26.0,42.0,30.0,88.0,35.0,27.0,32.0,48.0,20.0,52.0,47.0,26.0,71.0,42.0,52.0,43.0,35.0,46.0,66.0,58.0,51.0,33,81.0
32.0,120.0,59.0,53,66.0,59.0,65,79,75.0,57.0,27.0,99.0,109.0,82.0,33.0,139.0,29.0,31.0,35.0,35.0,38.0,37.0,45.0,76.0,40,28.0,34,69.0,81.0,31.0,49.0,98.0,36.0,78.0,120.0,82.0,35.0,43.0,24.0,47.0,47,51.0,25.0,35.0,24.0,76.0,17.0,29.0,53.0,44.0,25.0,53.0,44.0,49.0,61.0,23.0,47.0,50.0,31.0,32.0,67.0,52.0,51.0,37,51.0
23.0,52.0,51.0,61,99.0,40.0,70,36,112.0,65.0,73.0,57.0,57.0,182.0,54.0,53.0,105.0,36.0,33.0,27.0,38.0,43.0,34.0,84.0,42,34.0,48,63.0,158.0,35.0,77.0,101.0,26.0,59.0,58.0,78.0,73.0,46.0,48.0,47.0,76,52.0,30.0,43.0,22.0,77.0,20.0,37.0,40.0,35.0,30.0,81.0,23.0,43.0,61.0,46.0,45.0,30.0,22.0,49.0,85.0,34.0,64.0,61,51.0
25.0,67.0,49.0,64,52.0,50.0,48,103,91.0,93.0,44.0,92.0,41.0,118.0,53.0,61.0,35.0,37.0,31.0,34.0,38.0,37.0,26.0,115.0,24,28.0,78,119.0,69.0,66.0,52.0,88.0,36.0,38.0,59.0,63.0,107.0,121.0,42.0,105.0,36,75.0,19.0,27.0,59.0,25.0,33.0,39.0,69.0,41.0,22.0,36.0,26.0,37.0,33.0,26.0,49.0,45.0,29.0,40.0,142.0,46.0,90.0,32,41.0
33.0,23.0,31.0,44,102.0,69.0,115,63,66.0,41.0,41.0,66.0,63.0,121.0,56.0,114.0,47.0,29.0,29.0,21.0,46.0,27.0,23.0,146.0,75,55.0,34,84.0,37.0,41.0,32.0,100.0,24.0,41.0,85.0,46.0,77.0,30.0,34.0,56.0,30,32.0,18.0,42.0,46.0,55.0,29.0,22.0,176.0,56.0,20.0,41.0,99.0,67.0,81.0,20.0,35.0,40.0,19.0,92.0,34.0,146.0,28.0,45,60.0
19.0,38.0,77.0,70,101.0,48.0,35,61,55.0,31.0,47.0,57.0,50.0,208.0,26.0,160.0,26.0,40.0,25.0,24.0,31.0,31.0,45.0,96.0,45,18.0,45,92.0,108.0,35.0,34.0,99.0,43.0,89.0,167.0,47.0,42.0,45.0,28.0,43.0,37,36.0,22.0,36.0,28.0,80.0,21.0,20.0,58.0,40.0,31.0,32.0,62.0,33.0,83.0,42.0,37.0,36.0,19.0,27.0,49.0,64.0,37.0,63,39.0
22.0,48.0,29.0,44,63.0,76.0,57,38,43.0,61.0,46.0,32.0,95.0,165.0,21.0,33.0,30.0,87.0,34.0,21.0,42.0,31.0,24.0,106.0,63,33.0,75,98.0,43.0,51.0,48.0,77.0,91.0,86.0,96.0,62.0,68.0,55.0,31.0,71.0,50,61.0,25.0,32.0,20.0,56.0,23.0,37.0,58.0,40.0,29.0,38.0,39.0,34.0,91.0,29.0,32.0,47.0,18.0,75.0,50.0,48.0,31.0,71,36.0
19.0,34.0,88.0,32,38.0,63.0,53,60,131.0,90.0,29.0,27.0,42.0,59.0,43.0,45.0,48.0,39.0,29.0,20.0,37.0,23.0,21.0,45.0,30,23.0,83,39.0,124.0,87.0,57.0,92.0,28.0,63.0,69.0,72.0,50.0,53.0,113.0,58.0,32,81.0,36.0,23.0,18.0,40.0,25.0,34.0,89.0,62.0,21.0,43.0,33.0,58.0,28.0,22.0,39.0,39.0,16.0,50.0,91.0,62.0,46.0,69,36.0
22.0,42.0,31.0,31,88.0,65.0,52,55,187.0,58.0,63.0,57.0,37.0,101.0,34.0,77.0,124.0,36.0,22.0,30.0,39.0,56.0,22.0,53.0,38,23.0,99,59.0,149.0,25.0,42.0,81.0,22.0,56.0,126.0,40.0,33.0,45.0,19.0,31.0,28,55.0,20.0,26.0,20.0,44.0,18.0,47.0,26.0,76.0,21.0,38.0,26.0,41.0,41.0,26.0,25.0,38.0,26.0,45.0,49.0,62.0,39.0,34,74.0
20.0,30.0,40.0,85,44.0,33.0,49,47,45.0,64.0,41.0,55.0,19.0,168.0,22.0,143.0,17.0,65.0,31.0,23.0,25.0,24.0,35.0,56.0,29,24.0,50,54.0,67.0,36.0,64.0,34.0,36.0,89.0,41.0,65.0,47.0,35.0,38.0,46.0,34,38.0,19.0,36.0,26.0,44.0,21.0,59.0,95.0,37.0,29.0,72.0,26.0,32.0,63.0,22.0,46.0,29.0,15.0,53.0,44.0,48.0,50.0,30,34.0
19.0,24.0,63.0,52,103.0,38.0,52,56,50.0,49.0,87.0,42.0,35.0,76.0,33.0,127.0,37.0,26.0,25.0,27.0,27.0,41.0,37.0,102.0,80,22.0,42,118.0,49.0,24.0,43.0,64.0,23.0,61.0,90.0,24.0,33.0,81.0,39.0,35.0,23,27.0,21.0,29.0,16.0,71.0,25.0,20.0,33.0,30.0,39.0,19.0,25.0,50.0,61.0,17.0,28.0,39.0,20.0,38.0,66.0,52.0,56.0,32,47.0
19.0,35.0,36.0,36,60.0,33.0,52,43,46.0,26.0,43.0,41.0,33.0,55.0,28.0,61.0,22.0,43.0,33.0,30.0,33.0,30.0,23.0,137.0,49,21.0,51,44.0,82.0,31.0,26.0,55.0,23.0,48.0,39.0,50.0,33.0,27.0,24.0,31.0,29,51.0,17.0,17.0,16.0,37.0,36.0,27.0,164.0,33.0,22.0,26.0,23.0,33.0,44.0,20.0,50.0,46.0,18.0,116.0,92.0,76.0,54.0,32,26.0
21.0,33.0,32.0,27,41.0,51.0,49,32,41.0,27.0,57.0,49.0,23.0,47.0,42.0,126.0,22.0,38.0,67.0,20.0,57.0,28.0,31.0,89.0,62,19.0,72,75.0,87.0,64.0,48.0,49.0,17.0,24.0,38.0,128.0,62.0,57.0,24.0,28.0,56,24.0,19.0,18.0,16.0,69.0,27.0,37.0,35.0,30.0,22.0,39.0,21.0,26.0,59.0,21.0,32.0,30.0,18.0,51.0,43.0,62.0,34.0,48,58.0
17.0,36.0,36.0,15,88.0,26.0,41,47,54.0,61.0,39.0,25.0,76.0,56.0,28.0,54.0,18.0,52.0,44.0,14.0,23.0,29.0,28.0,63.0,38,26.0,39,27.0,56.0,20.0,44.0,51.0,20.0,47.0,52.0,26.0,48.0,25.0,20.0,130.0,71,30.0,18.0,63.0,37.0,40.0,19.0,52.0,34.0,23.0,17.0,23.0,77.0,22.0,53.0,16.0,44.0,35.0,17.0,25.0,69.0,37.0,31.0,29,92.0
16.0,37.0,35.0,53,123.0,39.0,39,54,49.0,33.0,41.0,44.0,35.0,110.0,29.0,127.0,17.0,36.0,21.0,27.0,23.0,33.0,48.0,52.0,27,38.0,42,28.0,45.0,60.0,29.0,23.0,20.0,24.0,35.0,30.0,44.0,19.0,33.0,34.0,65,20.0,23.0,20.0,18.0,41.0,24.0,58.0,34.0,26.0,22.0,19.0,48.0,77.0,40.0,57.0,25.0,25.0,17.0,24.0,38.0,159.0,38.0,36,84.0
19.0,27.0,49.0,32,230.0,43.0,27,56,36.0,47.0,54.0,46.0,20.0,52.0,24.0,54.0,17.0,24.0,22.0,16.0,17.0,18.0,23.0,57.0,26,21.0,34,68.0,75.0,24.0,27.0,124.0,22.0,33.0,35.0,29.0,58.0,19.0,49.0,38.0,31,51.0,17.0,16.0,15.0,52.0,16.0,47.0,54.0,26.0,29.0,26.0,38.0,69.0,82.0,19.0,33.0,50.0,15.0,35.0,43.0,71.0,27.0,51,42.0
24.0,27.0,67.0,59,44.0,44.0,46,73,45.0,65.0,54.0,28.0,24.0,36.0,46.0,55.0,34.0,39.0,20.0,46.0,23.0,23.0,30.0,69.0,33,28.0,38,59.0,93.0,17.0,32.0,44.0,28.0,59.0,40.0,107.0,69.0,27.0,20.0,25.0,36,36.0,14.0,18.0,29.0,70.0,22.0,22.0,92.0,34.0,21.0,99.0,26.0,53.0,81.0,15.0,25.0,31.0,19.0,42.0,37.0,41.0,46.0,58,31.0
25.0,23.0,29.0,35,77.0,35.0,31,27,87.0,75.0,52.0,33.0,32.0,46.0,31.0,80.0,47.0,44.0,26.0,17.0,33.0,22.0,18.0,59.0,39,37.0,40,55.0,105.0,19.0,22.0,53.0,33.0,38.0,88.0,25.0,30.0,17.0,16.0,26.0,34,31.0,15.0,17.0,19.0,35.0,19.0,25.0,56.0,34.0,28.0,29.0,59.0,59.0,131.0,23.0,26.0,46.0,14.0,23.0,32.0,36.0,27.0,32,55.0
20.0,50.0,71.0,42,39.0,96.0,59,79,60.0,40.0,47.0,97.0,41.0,87.0,30.0,118.0,18.0,42.0,23.0,21.0,25.0,31.0,25.0,42.0,29,59.0,67,88.0,57.0,59.0,79.0,38.0,24.0,51.0,40.0,31.0,92.0,20.0,18.0,58.0,55,56.0,15.0,35.0,24.0,88.0,19.0,30.0,29.0,37.0,31.0,30.0,33.0,23.0,50.0,17.0,19.0,83.0,18.0,31.0,81.0,40.0,23.0,51,32.0
20.0,32.0,42.0,39,68.0,34.0,35,60,191.0,32.0,49.0,28.0,31.0,33.0,23.0,50.0,20.0,25.0,49.0,25.0,50.0,53.0,21.0,34.0,37,31.0,64,33.0,63.0,24.0,35.0,85.0,30.0,37.0,33.0,25.0,34.0,18.0,19.0,35.0,40,19.0,18.0,18.0,13.0,84.0,18.0,17.0,38.0,24.0,21.0,22.0,26.0,46.0,54.0,15.0,27.0,23.0,13.0,32.0,34.0,47.0,20.0,30,34.0
19.0,49.0,56.0,38,56.0,25.0,33,61,38.0,28.0,34.0,67.0,25.0,79.0,24.0,33.0,18.0,53.0,21.0,22.0,31.0,20.0,28.0,67.0,67,21.0,36,52.0,44.0,25.0,24.0,33.0,19.0,48.0,45.0,21.0,51.0,15.0,29.0,24.0,40,32.0,17.0,44.0,10.0,43.0,35.0,20.0,109.0,43.0,40.0,24.0,25.0,23.0,44.0,16.0,44.0,33.0,18.0,29.0,52.0,89.0,39.0,24,49.0
19.0,41.0,31.0,24,27.0,81.0,35,43,36.0,26.0,24.0,70.0,34.0,185.0,17.0,78.0,16.0,21.0,40.0,20.0,22.0,54.0,21.0,70.0,34,25.0,23,57.0,75.0,15.0,38.0,33.0,18.0,36.0,38.0,17.0,63.0,19.0,28.0,21.0,41,55.0,14.0,50.0,13.0,53.0,19.0,17.0,88.0,29.0,21.0,16.0,20.0,47.0,46.0,20.0,18.0,25.0,14.0,27.0,35.0,62.0,23.0,22,35.0
19.0,37.0,31.0,36,77.0,25.0,129,36,33.0,55.0,30.0,67.0,18.0,82.0,16.0,91.0,28.0,22.0,21.0,31.0,23.0,29.0,29.0,76.0,38,23.0,75,65.0,97.0,16.0,23.0,32.0,14.0,29.0,27.0,29.0,20.0,16.0,16.0,29.0,25,33.0,16.0,26.0,12.0,25.0,15.0,31.0,25.0,27.0,36.0,17.0,51.0,28.0,73.0,16.0,42.0,20.0,16.0,40.0,45.0,78.0,22.0,71,43.0
22.0,21.0,22.0,35,62.0,42.0,87,86,123.0,22.0,26.0,54.0,22.0,56.0,17.0,34.0,16.0,28.0,81.0,15.0,18.0,24.0,23.0,45.0,36,21.0,30,32.0,51.0,28.0,21.0,37.0,23.0,24.0,31.0,32.0,134.0,17.0,21.0,19.0,44,25.0,,126.0,12.0,61.0,14.0,18.0,41.0,19.0,27.0,16.0,21.0,72.0,56.0,15.0,21.0,21.0,14.0,61.0,101.0,31.0,31.0,32,41.0
18.0,26.0,43.0,28,49.0,47.0,32,32,42.0,38.0,39.0,116.0,16.0,89.0,17.0,45.0,13.0,72.0,18.0,21.0,18.0,24.0,15.0,55.0,35,45.0,52,44.0,43.0,16.0,18.0,36.0,19.0,40.0,42.0,48.0,25.0,18.0,20.0,24.0,25,17.0,,16.0,,29.0,21.0,14.0,24.0,22.0,17.0,24.0,29.0,60.0,29.0,18.0,21.0,18.0,18.0,40.0,37.0,44.0,24.0,34,23.0
18.0,23.0,28.0,47,66.0,44.0,82,26,31.0,34.0,32.0,33.0,19.0,53.0,64.0,78.0,19.0,32.0,18.0,17.0,16.0,41.0,18.0,44.0,43,20.0,64,95.0,37.0,20.0,22.0,26.0,36.0,53.0,25.0,16.0,42.0,19.0,13.0,19.0,24,29.0,,17.0,,61.0,19.0,13.0,29.0,23.0,15.0,22.0,40.0,18.0,47.0,12.0,41.0,23.0,27.0,23.0,63.0,52.0,48.0,41,26.0
18.0,19.0,21.0,44,28.0,32.0,41,65,25.0,27.0,62.0,32.0,34.0,44.0,24.0,173.0,117.0,50.0,18.0,50.0,20.0,23.0,17.0,79.0,67,19.0,85,37.0,41.0,16.0,26.0,38.0,19.0,55.0,69.0,23.0,135.0,12.0,31.0,23.0,46,18.0,,40.0,,43.0,18.0,22.0,40.0,22.0,23.0,49.0,19.0,24.0,45.0,,19.0,23.0,14.0,26.0,36.0,34.0,19.0,38,20.0
15.0,39.0,25.0,58,55.0,135.0,46,37,38.0,57.0,42.0,60.0,26.0,147.0,29.0,28.0,18.0,44.0,20.0,17.0,19.0,22.0,18.0,61.0,84,16.0,95,33.0,55.0,49.0,27.0,53.0,20.0,36.0,76.0,20.0,77.0,14.0,13.0,19.0,41,28.0,,13.0,,26.0,19.0,27.0,46.0,24.0,18.0,17.0,33.0,20.0,41.0,,21.0,19.0,24.0,28.0,29.0,66.0,21.0,27,19.0
16.0,31.0,36.0,35,76.0,44.0,48,54,27.0,91.0,27.0,27.0,17.0,48.0,17.0,45.0,13.0,23.0,19.0,58.0,16.0,21.0,15.0,52.0,43,18.0,39,41.0,86.0,17.0,19.0,80.0,16.0,22.0,45.0,33.0,89.0,17.0,13.0,19.0,28,81.0,,13.0,,30.0,18.0,28.0,26.0,19.0,20.0,21.0,20.0,23.0,66.0,,19.0,50.0,14.0,29.0,28.0,41.0,18.0,30,17.0
16.0,20.0,26.0,42,36.0,51.0,59,26,136.0,32.0,36.0,42.0,21.0,61.0,24.0,69.0,,22.0,16.0,20.0,17.0,29.0,42.0,43.0,45,21.0,70,68.0,51.0,20.0,20.0,86.0,19.0,64.0,23.0,22.0,22.0,58.0,,30.0,35,20.0,,16.0,,105.0,22.0,18.0,48.0,29.0,19.0,20.0,20.0,26.0,34.0,,48.0,20.0,20.0,57.0,56.0,45.0,14.0,49,36.0
24.0,27.0,23.0,33,47.0,63.0,74,93,33.0,38.0,50.0,41.0,23.0,37.0,27.0,70.0,,24.0,17.0,14.0,20.0,43.0,18.0,43.0,25,18.0,26,50.0,32.0,86.0,67.0,24.0,19.0,27.0,50.0,17.0,38.0,,,24.0,44,16.0,,16.0,,62.0,15.0,14.0,32.0,18.0,13.0,40.0,15.0,20.0,41.0,,36.0,19.0,18.0,21.0,75.0,31.0,15.0,46,27.0
12.0,21.0,60.0,41,32.0,23.0,60,33,57.0,31.0,63.0,75.0,58.0,133.0,17.0,39.0,,25.0,22.0,15.0,15.0,48.0,57.0,92.0,49,15.0,36,46.0,96.0,26.0,19.0,35.0,17.0,33.0,47.0,20.0,93.0,,,15.0,32,62.0,,18.0,,37.0,16.0,145.0,35.0,28.0,18.0,17.0,15.0,20.0,45.0,,24.0,21.0,38.0,50.0,46.0,65.0,16.0,41,71.0
,85.0,23.0,22,41.0,64.0,50,29,60.0,26.0,50.0,53.0,16.0,27.0,21.0,93.0,,41.0,17.0,17.0,15.0,22.0,17.0,35.0,38,29.0,50,31.0,52.0,31.0,19.0,33.0,21.0,256.0,21.0,24.0,46.0,,,15.0,46,28.0,,15.0,,43.0,18.0,16.0,26.0,22.0,14.0,74.0,31.0,23.0,50.0,,19.0,46.0,32.0,28.0,49.0,32.0,33.0,27,22.0
,18.0,27.0,33,54.0,37.0,50,34,42.0,36.0,30.0,29.0,25.0,31.0,12.0,37.0,,19.0,20.0,16.0,14.0,19.0,21.0,37.0,37,22.0,30,49.0,40.0,17.0,21.0,75.0,15.0,21.0,57.0,32.0,30.0,,,17.0,45,14.0,,18.0,,28.0,13.0,17.0,38.0,15.0,25.0,12.0,41.0,60.0,24.0,,18.0,24.0,15.0,58.0,33.0,49.0,20.0,28,53.0
,16.0,28.0,25,43.0,24.0,30,36,28.0,57.0,54.0,49.0,18.0,88.0,14.0,28.0,,40.0,13.0,13.0,19.0,28.0,14.0,38.0,32,17.0,33,41.0,81.0,,25.0,93.0,18.0,33.0,88.0,40.0,75.0,,,15.0,30,19.0,,18.0,,39.0,16.0,22.0,32.0,17.0,16.0,14.0,16.0,20.0,33.0,,20.0,16.0,,45.0,31.0,46.0,15.0,20,24.0
,19.0,24.0,47,53.0,36.0,45,48,32.0,75.0,23.0,35.0,32.0,23.0,,212.0,,19.0,12.0,,15.0,23.0,25.0,100.0,47,18.0,20,33.0,56.0,,18.0,34.0,16.0,31.0,49.0,18.0,49.0,,,15.0,35,51.0,,20.0,,28.0,13.0,15.0,47.0,20.0,18.0,14.0,19.0,18.0,89.0,,20.0,19.0,,88.0,46.0,45.0,30.0,32,22.0
,24.0,18.0,29,41.0,97.0,61,28,176.0,31.0,22.0,88.0,,45.0,,28.0,,26.0,14.0,,16.0,19.0,13.0,132.0,56,19.0,27,87.0,24.0,,21.0,34.0,20.0,21.0,23.0,14.0,29.0,,,44.0,52,21.0,,75.0,,47.0,15.0,18.0,70.0,23.0,13.0,,73.0,19.0,27.0,,17.0,22.0,,66.0,76.0,51.0,15.0,34,23.0
,21.0,17.0,75,37.0,48.0,51,40,24.0,31.0,52.0,65.0,,40.0,,93.0,,22.0,19.0,,15.0,21.0,16.0,39.0,30,48.0,41,25.0,41.0,,19.0,36.0,12.0,19.0,25.0,16.0,62.0,,,20.0,28,28.0,,51.0,,23.0,26.0,38.0,70.0,16.0,,,35.0,20.0,43.0,,19.0,14.0,,36.0,38.0,23.0,13.0,76,19.0
,16.0,16.0,25,69.0,95.0,89,28,72.0,45.0,43.0,32.0,,21.0,,132.0,,34.0,16.0,,22.0,20.0,17.0,27.0,51,23.0,47,90.0,42.0,,27.0,26.0,12.0,131.0,34.0,18.0,39.0,,,14.0,39,16.0,,25.0,,34.0,14.0,48.0,43.0,17.0,,,17.0,25.0,75.0,,40.0,16.0,,42.0,28.0,50.0,14.0,46,20.0
,55.0,22.0,27,71.0,30.0,51,46,88.0,41.0,40.0,95.0,,52.0,,32.0,,52.0,13.0,,,33.0,18.0,34.0,29,13.0,32,41.0,54.0,,28.0,59.0,16.0,24.0,33.0,,70.0,,,15.0,42,30.0,,18.0,,40.0,,25.0,29.0,17.0,,,20.0,68.0,44.0,,18.0,24.0,,23.0,33.0,32.0,34.0,116,20.0
